hp,sp,pa,sa,pd,sd,hit,nim,spd,cri,melee,remote,exp,sxp,p dizzy,s dizzy
307,53,64,52,67,55,91,29,76,27,108,92,38,0,36,24
449,63,105,84,87,76,145,33,81,27,108,92,166,0,36,24
686,74,145,117,113,98,199,37,86,27,108,92,462,0,36,24
1017,84,187,151,138,120,254,40,91,27,108,92,1028,0,36,24
1443,95,228,182,163,142,308,44,95,27,108,92,1990,0,36,24
1613,105,240,192,168,145,362,48,100,27,108,92,3498,0,36,24
1875,116,276,220,191,164,416,52,105,27,108,92,5726,0,36,24
2137,126,313,249,214,184,471,56,110,27,108,92,8872,0,36,24
2398,137,350,279,236,203,525,59,114,27,108,92,13158,0,36,24
2660,147,386,307,259,223,579,63,119,27,108,92,18830,0,36,24
2922,158,423,336,282,242,633,67,124,27,108,92,26158,0,36,24
3184,168,459,366,304,261,688,71,129,27,108,92,35436,0,36,24
3381,179,495,395,327,281,742,75,133,27,108,92,46982,0,36,24
3538,189,532,425,349,300,796,78,138,27,108,92,61138,0,36,24
3695,200,569,453,372,320,850,82,143,27,108,92,78270,0,36,24
