hp,sp,pa,sa,pd,sd,hit,nim,spd,cri,melee,remote,exp,sxp,p dizzy,s dizzy
302,54,62,53,65,57,80,33,89,23,100,50,38,0,39,23
441,65,102,87,89,79,128,37,95,23,100,50,166,0,39,23
673,76,142,120,116,102,176,41,100,23,100,50,462,0,39,23
998,87,182,155,142,125,224,45,106,23,100,50,1028,0,39,23
1416,98,222,187,168,148,272,50,111,23,100,50,1990,0,39,23
1584,108,233,197,173,151,320,54,117,23,100,50,3498,0,39,23
1841,119,269,226,196,171,368,58,123,23,100,50,5726,0,39,23
2098,130,305,256,220,191,416,63,128,23,100,50,8872,0,39,23
2355,141,341,287,242,211,464,67,134,23,100,50,13158,0,39,23
2612,152,376,316,266,232,512,71,139,23,100,50,18830,0,39,23
2869,162,412,346,290,251,560,75,145,23,100,50,26158,0,39,23
3126,173,447,376,313,271,608,80,150,23,100,50,35436,0,39,23
3319,184,482,407,336,292,656,84,156,23,100,50,46982,0,39,23
3474,195,518,437,359,311,704,88,161,23,100,50,61138,0,39,23
3628,206,554,466,383,332,752,93,167,23,100,50,78270,0,39,23
