hp,sp,pa,sa,pd,sd,hit,nim,spd,cri,melee,remote,exp,sxp,p dizzy,s dizzy
335,50,55,49,58,52,80,30,80,25,120,80,38,0,45,20
490,60,91,80,82,72,128,34,85,25,120,80,166,0,45,20
748,70,126,111,107,93,176,38,90,25,120,80,462,0,45,20
1109,80,162,143,131,114,224,42,95,25,120,80,1028,0,45,20
1574,90,198,173,155,135,272,46,100,25,120,80,1990,0,45,20
1760,100,208,182,160,138,320,50,105,25,120,80,3498,0,45,20
2045,110,240,209,181,156,368,54,110,25,120,80,5726,0,45,20
2331,120,272,237,203,175,416,58,115,25,120,80,8872,0,45,20
2616,130,304,265,224,193,464,62,120,25,120,80,13158,0,45,20
2902,140,335,292,246,212,512,66,125,25,120,80,18830,0,45,20
3188,150,367,320,268,230,560,70,130,25,120,80,26158,0,45,20
3473,160,399,348,289,248,608,74,135,25,120,80,35436,0,45,20
3688,170,430,376,311,267,656,78,140,25,120,80,46982,0,45,20
3860,180,462,404,332,285,704,82,145,25,120,80,61138,0,45,20
4031,190,494,431,354,304,752,86,150,25,120,80,78270,0,45,20
